"sample.rate","channels","bits","samples","length.secs","file.size","file.location","filename","drive.id","device.id","timestamp"
44100,2,16,528886,11.99,2115588,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Sound clips/St George_2 LEBI confirmed_MMP-POPA20_20190610_043000.wav","St George_2 LEBI confirmed_MMP-POPA20_20190610_043000.wav","4","20",2019-06-10 04:30:00
44100,2,16,590957,13.4,2363872,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Sound clips/St George_2 LEBI_clear_MMP-POPA20_20190616_060000.wav","St George_2 LEBI_clear_MMP-POPA20_20190616_060000.wav","4","20",2019-06-16 06:00:00
44100,2,16,690882,15.67,2763572,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Sound clips/St George_2 LEBI_clear_MMP-POPA20_20190622_050000.wav","St George_2 LEBI_clear_MMP-POPA20_20190622_050000.wav","4","20",2019-06-22 05:00:00
44100,2,16,479931,10.88,1919768,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Sound clips/St George_2 LEBI_MMP-POPA20_20190610_040000.wav","St George_2 LEBI_MMP-POPA20_20190610_040000.wav","4","20",2019-06-10 04:00:00
44100,2,16,109857,2.49,439472,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Sound clips/St George_LEBI_MMP-POPA20_20190607_200000.wav","St George_LEBI_MMP-POPA20_20190607_200000.wav","4","20",2019-06-07 20:00:00
44100,2,16,419533,9.51,1678176,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Sound clips/Ward_clear LEBI_MMP-POPA13_20190612_200000.wav","Ward_clear LEBI_MMP-POPA13_20190612_200000.wav","4","13",2019-06-12 20:00:00
44100,2,16,205898,4.67,823636,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/Data/Unknowns/St George_MMP-POPA20_20190607_203000 4-15.wav","St George_MMP-POPA20_20190607_203000 4-15.wav","4","20",NA
44100,2,16,6835584,155,27375104,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_201227.wav","MMP-POPA16_20190612_201227.wav","4","16",2019-06-12 20:12:27
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_203000.wav","MMP-POPA16_20190612_203000.wav","4","16",2019-06-12 20:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_210000.wav","MMP-POPA16_20190612_210000.wav","4","16",2019-06-12 21:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_213000.wav","MMP-POPA16_20190612_213000.wav","4","16",2019-06-12 21:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_220000.wav","MMP-POPA16_20190612_220000.wav","4","16",2019-06-12 22:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_223000.wav","MMP-POPA16_20190612_223000.wav","4","16",2019-06-12 22:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_230000.wav","MMP-POPA16_20190612_230000.wav","4","16",2019-06-12 23:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190612_233000.wav","MMP-POPA16_20190612_233000.wav","4","16",2019-06-12 23:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_000000.wav","MMP-POPA16_20190613_000000.wav","4","16",2019-06-13 00:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_010000.wav","MMP-POPA16_20190613_010000.wav","4","16",2019-06-13 01:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_020000.wav","MMP-POPA16_20190613_020000.wav","4","16",2019-06-13 02:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_030000.wav","MMP-POPA16_20190613_030000.wav","4","16",2019-06-13 03:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_040000.wav","MMP-POPA16_20190613_040000.wav","4","16",2019-06-13 04:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_043000.wav","MMP-POPA16_20190613_043000.wav","4","16",2019-06-13 04:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_050000.wav","MMP-POPA16_20190613_050000.wav","4","16",2019-06-13 05:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_053000.wav","MMP-POPA16_20190613_053000.wav","4","16",2019-06-13 05:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_060000.wav","MMP-POPA16_20190613_060000.wav","4","16",2019-06-13 06:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_063000.wav","MMP-POPA16_20190613_063000.wav","4","16",2019-06-13 06:30:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_070000.wav","MMP-POPA16_20190613_070000.wav","4","16",2019-06-13 07:00:00
44100,2,16,39690112,900,158793216,"G://MMMP Songmeter raw files 2019, 2020/MMMP/2019/LEBI and YERA/LEBI/Beaubassin/MMP-POPA16_20190613_073000.wav","MMP-POPA16_20190613_073000.wav","4","16",2019-06-13 07:30:00
